t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
0,19.56066737047619,27.81386805345238,21.516518718928573,40.81591205619048,51.84761904761905,32.64642857142857,26.54606761238095,23.996817211785707,25.94498006142857,30.14416285083333,27.97380952380953,21.46666666666667,30.52738095238095
1,45.33690476190476,62.43845039261905,47.47380952380952,69.77105126619048,52.30595238095238,63.47625994333333,58.12976190476191,38.903960068928576,41.89999999999999,55.890476190476186,45.567857142857136,58.07976190476192,47.57261904761905
2,49.76547619047619,61.93082736833333,43.720238095238095,55.53552563309524,49.4297619047619,63.71078375285714,50.61594474857143,30.817857142857147,36.25463288785714,53.50714285714286,41.2345238095238,54.63571428571429,38.58214285714286
3,42.042857142857144,52.53446130321428,26.87023809523809,50.22581317095238,52.50238095238095,45.07268851476191,49.05523046285714,28.717857142857145,34.82329345619048,47.453571428571436,38.59761904761905,46.85833333333334,42.64642857142858
4,33.23571428571429,48.94047619047619,24.538393431666666,60.14623991880951,54.83168502607143,26.95952380952381,45.6449847352381,29.482142857142854,35.358333333333334,47.6702380952381,34.47380952380953,40.56309523809524,41.432480594166655
5,34.09642857142857,43.423391862976196,35.50148866976191,60.63119959404761,43.30833333333334,31.058333333333334,51.581528538095235,39.81785714285714,36.460198218095236,55.226190476190474,38.955047269761906,40.82261904761905,35.007480594166665
6,43.76071428571429,49.30791567249999,32.60550623964286,60.982825935952384,19.779761904761905,39.151190476190486,51.97117521142859,43.909523809523805,35.51627961595238,54.03225808892858,44.57557073,38.76904761904762,25.550337737023806
7,42.105952380952374,51.542021821190474,41.66413776654762,41.547430395,22.856685026071432,46.510783752857144,50.66641330666666,47.76586483083334,33.63876964666667,54.246659035,41.84876050761904,29.075775375357143,27.892857142857142
8,35.67142857142857,38.11982043440476,39.80982200309524,41.71271793285714,17.676190476190477,52.47751988666666,45.14426281714287,29.75357142857143,25.891537649761908,45.566897130238104,43.53299895214286,31.478156327738095,14.47857142857143
9,34.826190476190476,30.821428571428573,24.97529819357143,24.82976190476191,8.742857142857142,54.23809523809524,33.93297237428571,24.565476190476186,22.907430214999998,30.991781898452384,36.737047444404766,23.300775375357148,19.48333333333333
10,20.767857142857142,23.19601091059524,25.38050623964286,22.337776493333333,14.251923121309526,38.65357142857143,29.90165903428571,12.54404761904762,17.02857142857143,38.25034569535715,30.584809174523805,20.509108708690473,11.413095238095238
11,21.74047619047619,20.459523809523805,15.278571428571427,18.242668490238096,11.30595238095238,24.460714285714282,22.979508544761902,18.39363442357143,10.120238095238095,30.128571428571423,22.386285015714286,22.0952380952381,11.792857142857144
12,7.214285714285715,28.573809523809523,20.534523809523808,7.242857142857142,35.64578772333333,11.514285714285714,13.72438568095238,16.015062995,4.109523809523809,8.977496184166666,9.135856968214286,7.395238095238095,6.135714285714285
13,10.073809523809524,21.467857142857145,22.6635436775,3.563095238095238,13.381227195,3.1488095238095233,12.290476190476193,5.47142857142857,4.950000000000001,5.9750000000000005,12.257570904642858,2.7964285714285713,18.23452380952381
14,11.038095238095238,16.60238095238095,24.77172906309524,10.270238095238096,30.033608147380953,6.746428571428571,12.84927808190476,11.660714285714286,9.90952380952381,9.095468558809523,17.107142857142858,6.125360274523809,24.49880952380952
15,6.480952380952381,11.999999999999998,21.576934811071432,6.280952380952381,16.99642857142857,3.539285714285714,9.285353326666666,6.723809523809526,2.630952380952381,4.428571428571429,11.204904587261902,5.039285714285714,19.78809523809524
16,10.479761904761904,14.426190476190474,20.979613957023812,4.539285714285714,24.223809523809525,4.352380952380953,6.936904761904761,7.31705530702381,6.192857142857143,6.1048771365476195,14.080952380952384,7.776190476190476,19.88571428571429
17,9.24047619047619,17.47738095238095,13.303571428571429,8.046239918809523,20.704761904761902,9.733333333333333,10.980591421904762,9.392857142857142,6.465347173571429,8.871659035,13.339571079285713,11.822619047619044,17.851190476190474
18,9.738095238095237,14.151190476190475,9.368601477738096,9.133333333333335,14.14716121654762,9.313095238095238,6.869877136190476,9.142857142857142,9.387837204285715,4.330952380952381,8.874999999999998,11.178931703095236,21.69557583226191
19,14.011904761904763,16.48690476190476,13.148809523809524,12.284523809523808,23.11263740702381,8.33095238095238,7.572619047619048,14.539285714285715,9.824870983095238,14.113095238095239,17.226333158690476,11.464285714285719,20.924147260833333
20,12.06547619047619,12.739285714285712,13.44642857142857,7.666666666666666,17.14761904761905,8.192857142857141,13.335714285714285,14.684110614047622,10.378442411666667,4.938095238095239,14.257142857142856,13.887265036428571,26.884523809523813
21,12.733333333333334,19.019047619047615,12.292857142857143,13.734335156904763,19.05100745916667,9.327380952380953,8.148809523809526,13.010714285714286,8.313095238095238,13.365821885833332,10.489285714285714,9.641666666666666,25.29166666666666
22,10.299953084761905,15.757498011666668,11.155506239642856,17.941478014047618,25.110531268690483,8.255952380952381,14.567857142857141,18.514674354642857,11.719047619047618,11.712019993690477,16.05238095238095,12.779761904761903,30.954761904761902
23,12.17261904761905,9.607498011666666,12.086904761904762,16.50476190476191,33.71025645464285,14.789285714285713,16.77142857142857,14.572619047619051,17.594980061428572,14.615591422261904,16.488237920595243,16.06190476190476,24.43571428571429
